x,y,label
4.13,15.18,0
10.5,16.45,0
2.92,17.33,0
3.36,15.15,0
6.45,16.47,0
10.88,15.18,0
10.17,17.36,0
1.9,16.56,0
4.46,11.08,0
4.2,18.9,0
8.61,12.97,0
7.53,20.08,0
10.27,16.36,0
5.26,15.77,0
1.65,16.64,0
9.81,15.21,0
1.07,14.57,0
3.6,16.16,0
9.12,17.15,0
4.62,20.45,0
2.0,17.13,0
4.35,15.04,0
7.38,15.45,0
9.1,16.06,0
7.14,11.61,0
8.65,18.62,0
2.62,14.33,0
7.04,16.08,0
2.51,15.54,0
5.59,17.29,0
3.11,19.89,0
8.87,19.71,0
9.11,15.04,0
3.74,18.86,0
6.52,14.77,0
4.22,19.94,0
6.04,12.2,0
2.21,20.14,0
2.34,13.22,0
2.95,11.49,0
7.66,11.31,0
7.18,16.74,0
5.23,11.96,0
10.8,16.05,0
10.76,19.82,0
8.14,13.2,0
5.59,14.8,0
9.57,12.82,0
5.83,20.19,0
7.52,17.48,0
20.97,5.13,0
15.78,2.31,0
20.32,10.43,0
15.95,1.63,0
10.72,4.1,0
12.03,7.52,0
14.01,9.53,0
11.05,2.83,0
17.56,10.73,0
12.7,2.33,0
12.37,7.63,0
21.75,8.74,0
12.21,3.68,0
14.39,7.23,0
16.01,10.98,0
14.18,9.11,0
17.19,6.92,0
16.78,4.34,0
20.14,7.77,0
15.1,9.66,0
15.45,7.14,0
14.1,9.73,0
12.1,4.68,0
20.87,8.35,0
18.26,7.01,0
19.12,7.02,0
18.93,6.25,0
11.95,1.85,0
20.01,10.14,0
17.71,10.29,0
19.02,3.06,0
17.03,8.39,0
14.13,1.98,0
15.88,2.32,0
15.72,6.7,0
12.55,2.81,0
18.0,8.36,0
17.49,4.05,0
19.09,9.53,0
13.96,3.99,0
12.95,9.96,0
18.39,7.39,0
19.65,9.23,0
18.35,2.57,0
17.3,6.47,0
11.15,3.35,0
16.18,10.2,0
14.77,8.92,0
20.41,6.67,0
12.36,9.37,0
5.59,9.67,1
9.96,1.42,1
1.86,2.14,1
4.46,6.09,1
8.8,6.66,1
9.77,7.07,1
7.57,6.96,1
10.07,3.27,1
2.7,11.76,1
2.01,6.39,1
11.04,7.0,1
4.95,9.12,1
2.14,5.64,1
6.92,4.58,1
5.63,7.23,1
1.47,4.84,1
5.95,4.42,1
7.13,8.98,1
7.85,10.62,1
2.57,6.53,1
9.08,1.8,1
3.22,6.9,1
5.74,8.96,1
8.4,6.38,1
10.66,7.99,1
6.81,11.65,1
10.26,9.48,1
1.36,9.09,1
0.26,1.45,1
3.16,6.93,1
3.77,5.17,1
9.76,5.67,1
8.06,5.41,1
5.37,1.51,1
5.51,1.0,1
10.09,8.52,1
3.14,5.23,1
6.1,10.14,1
2.14,7.89,1
1.65,5.75,1
3.82,4.48,1
10.83,4.88,1
3.38,6.47,1
3.97,8.89,1
10.0,7.91,1
4.71,6.62,1
4.58,6.65,1
2.55,11.81,1
7.6,9.12,1
6.88,4.92,1
12.49,19.02,1
15.31,14.99,1
19.0,15.1,1
14.4,12.22,1
13.92,11.98,1
15.49,13.05,1
19.58,15.53,1
15.74,18.22,1
13.6,14.68,1
19.16,19.64,1
12.25,16.93,1
19.71,18.68,1
18.92,11.84,1
19.22,17.53,1
16.04,11.5,1
16.12,18.41,1
11.89,20.26,1
14.0,18.1,1
10.8,14.86,1
19.75,12.67,1
20.02,11.17,1
10.36,14.02,1
17.85,16.57,1
12.13,18.76,1
12.29,20.39,1
15.39,11.36,1
14.74,15.36,1
16.6,17.97,1
16.17,14.3,1
20.61,20.85,1
18.05,11.3,1
19.18,15.81,1
17.7,17.51,1
20.69,16.56,1
18.21,14.64,1
10.75,10.52,1
14.58,12.48,1
10.86,19.79,1
16.39,15.51,1
12.94,15.93,1
14.35,12.8,1
14.66,12.31,1
17.43,16.41,1
13.49,14.55,1
11.57,16.35,1
12.41,20.88,1
12.84,11.47,1
15.19,20.98,1
16.09,14.21,1
12.14,19.05,1
